# default,student,balance,income
0,0,729.5264952073,44361.6250742669
0,1,817.1804065555,12106.1347003149
0,0,1073.5491640117,31767.1389473999
0,0,529.2506047453,35704.4939350781
0,0,785.6558829305,38463.4958787229
0,1,919.5885304745,7491.5585718275
0,0,825.5133305172,24905.2265775235
0,1,808.6675042973,17600.4513435869
0,0,1161.0578540313,37468.5292875375
0,0,0,29275.2682931678
0,1,0,21871.0730892775
0,1,1220.5837530038,13268.5622209261
0,0,237.0451139775,28251.6953449631
0,0,606.7423433025,44994.5558492173
0,0,1112.9684006331,23810.174050036
0,0,286.2325601392,45042.4130358855
0,0,0,50265.3123535985
0,1,527.5401840746,17636.5396172936
0,0,485.9368641717,61566.106117801
0,0,1095.0727352874,26464.631389229
0,0,228.9525496426,50500.1821977441
0,0,954.2617927735,32457.5090750754
0,0,1055.9566047291,51317.8830823874
0,0,641.984388848,30466.1032574814
0,0,773.2117245342,34353.3143050038
0,0,855.0085225257,25211.3321614539
0,0,642.9997385154,41473.5118010187
0,0,1454.863272484,32189.0949523178
0,0,615.7042765604,39376.3946187014
0,1,1119.5693533287,16556.0702053511
0,0,494.8162288073,54384.7828361386
0,1,448.880656256,15799.4704097956
0,1,584.9048946825,22429.9350462168
0,0,913.5871726089,46907.2254028623
0,1,1423.9389166409,22634.4880875812
0,1,1499.7246565597,13190.6527164103
0,0,692.0341670654,47806.6117728963
0,0,351.453471523,35087.4886480858
0,0,742.6276207856,37864.8239388952
0,0,653.1184001234,39489.5947028613
0,0,872.1386795385,41787.5672689012
0,0,837.2626227542,51471.7720946377
0,0,1151.6305660827,42917.4695636282
0,1,220.5556083864,16872.9475557814
0,1,1690.234410387,19052.5722246955
0,0,408.7729143052,54206.9392120179
0,0,1238.6103212411,50066.6805336538
0,0,1228.3083503534,37408.5038685076
0,0,820.9192041462,47746.5420731016
0,0,857.4851177765,31688.3459738919
0,0,563.6181771824,42641.253266646
0,1,1282.9725335958,13120.6364696027
0,1,1505.7826748288,26557.1414458808
0,1,904.0402590668,16882.3006056535
0,0,0,49956.580571906
0,1,1294.4973466731,10464.3207319231
0,1,1275.5506327236,15887.4684867774
0,0,1536.5946009725,48766.9074575615
0,0,1332.522643867,39143.1370690178
0,0,492.0797678154,33379.0946028395
0,0,766.2343793039,46478.2942569524
0,0,690.1272462,63432.9842544674
0,0,0,32481.5400461151
0,0,1480.6553092627,36866.1570686848
0,0,989.0555969753,45344.2513202648
0,0,1302.3418351686,33695.4262332636
0,0,1044.5523432847,54696.7659816226
0,0,0,43658.2277239957
0,0,866.028436368,38363.4216347118
0,0,690.8007923541,48140.471335995
0,0,597.7571420171,31577.6151255677
0,0,429.4854023063,51311.218101023
0,0,1398.1562014833,39644.9421931896
0,1,1578.0640985399,19886.4939515168
0,0,857.0690531342,26655.6889653755
0,1,752.4599459588,16211.2757881826
0,1,774.7384269639,15193.733135525
0,0,728.3732513026,45131.718264691
0,0,76.9912905299,28392.0934122846
0,0,196.4569131362,41346.78591324
0,1,948.7479183886,14297.6190485513
0,0,431.9208853042,39369.8815631008
0,0,461.6381822338,46221.2114948234
0,0,572.0157602306,33046.3129575033
0,0,335.5681447332,51258.4442299621
0,0,510.2375931564,60397.7186486948
0,1,1005.1613055558,24038.6520433118
0,1,162.4544510866,13241.7520600759
0,0,932.5331556823,50537.4656484602
0,1,893.3304676123,11905.6817925484
0,0,1332.7825635257,44495.1627629054
0,0,1404.3830694522,35043.1060286742
0,1,1148.9651391593,16578.1921184729
0,0,368.2234257205,57596.8258431935
0,0,449.4666287693,45950.6667238687
0,0,820.0171125784,51584.6573183834
0,1,619.7518685756,15750.6220834223
0,0,1047.7181240096,46416.9709942419
0,0,243.8413283258,47193.8881309706
0,0,186.5003869315,45430.5502710943
0,0,1422.0184875758,38224.0315214972
0,0,383.7986590057,61425.286388114
0,0,1159.4350960886,45802.1049386909
0,0,882.9919125519,17181.7379663818
0,0,1463.2328916109,65457.8541875824
0,1,1722.3558462832,19311.4229408044
0,1,773.9218612577,14558.9121383835
0,0,958.169418469,32816.2847956415
0,0,1207.5327301495,68037.5751261777
0,0,1056.6108304963,30546.6010343774
0,0,117.6424839318,46550.2672705963
0,0,596.964119237,58088.3604512649
0,0,0,47729.6257581971
0,1,541.6627553245,16335.7034406021
0,0,1119.1783034181,45020.0191217013
0,1,810.3209364698,20498.66581411
0,0,271.551437747,32850.1201448079
0,0,1114.4032365043,47714.0221084582
0,0,867.0308280536,33540.9799848111
0,1,1176.7894016772,17632.712103849
0,0,610.2278186614,42465.3629640684
0,0,272.6156617155,55449.3386406402
0,0,449.7350858369,49643.4264416677
0,1,827.7672094003,10673.5262253922
0,0,430.0000994499,33925.2195976742
0,0,0,31825.7649719215
0,1,1557.3446366823,18404.594189222
0,0,928.2369662615,33722.1589415677
0,0,1373.4501632893,49101.7982141897
0,1,951.0729075,18601.5332374944
0,1,1292.2108685054,23065.850975377
0,0,582.1887007066,24760.7957330564
0,1,339.4246382809,19307.98029025
0,0,409.9823246088,44641.090118396
0,0,1216.4515095543,53639.8468273843
0,0,598.4613921236,44124.2681146436
1,1,1486.9981216002,17854.3970280731
0,0,943.7963387138,59976.8398676444
0,0,0,49525.7450208494
0,1,996.2760867666,20883.2407676238
0,1,748.3013403613,11248.6707527348
0,0,324.737921782,15411.5185672943
0,1,575.3821584895,16005.6813190057
0,0,441.7382849263,36012.2358964554
0,0,1188.6421795529,39526.5612652646
0,0,95.1476801904,51371.1999147598
0,0,1015.614837484,43218.794375243
0,0,1258.5673927257,44931.6749177461
0,1,1178.2444135285,7750.2892205592
0,0,731.5326562544,43956.0600839728
0,0,350.0887921399,44455.1995150356
0,0,418.8483454338,36901.7833281202
0,0,533.2294651814,39393.5424772748
0,0,95.2969741284,32359.3890284286
0,1,1453.005932073,15933.0021109819
0,0,352.6444140315,39404.7443664762
0,1,736.2389354625,14107.9939653376
0,0,1306.4845722752,41224.6250242432
0,0,1149.145627179,45194.7946620784
0,0,703.2268907215,57679.2791425179
0,1,1360.8004354124,18864.3084886679
0,0,31.4450805447,53287.3503013149
0,0,988.2144580694,48570.3634566328
0,0,360.0190735844,23927.5466133912
0,0,647.4835286193,33226.2775446785
0,1,0,9816.7894375576
0,0,445.2418192163,31974.6245068978
0,1,878.542064501,17496.7414821956
0,1,335.8341185762,21759.8702696952
0,0,666.6088814343,30438.4688266267
0,0,813.8766470199,40737.4597766098
0,0,836.3000716232,54607.1787395438
0,0,967.4826836818,33055.1102723298
1,1,2205.7995211483,14271.492252976
0,1,1258.1852191443,11672.2220033397
0,0,1239.8016990846,40107.1722104231
0,1,0,13760.2984556873
0,1,927.8877322636,22473.3796109537
0,1,1390.0307825189,21299.0992265335
0,0,410.497704768,53471.2136303255
0,0,73.0765421847,30681.7375351468
0,0,790.5977592474,45303.1033141261
0,0,789.4950969838,32579.9002059474
0,0,791.3604220787,46319.2361190854
0,0,479.0423789904,37255.8803342804
0,0,888.6132725502,28899.7917513637
0,0,1284.3863605064,42831.9546193997
0,1,712.2763512803,23341.9502302432
0,1,1290.6201686492,18408.0490819609
0,0,126.3626853991,44280.9297885654
0,0,779.3762576957,61158.8851121863
0,0,697.4909574638,49476.759599281
0,0,606.9746135483,43610.0330173371
0,1,1802.9033335574,21411.4239490249
0,0,900.0853325975,41276.5631894987
0,0,966.2802879681,33440.9792997775
0,0,671.0613596392,35689.1118739108
0,0,171.5591159599,23505.9927713232
0,0,1482.4803000632,45260.6115977848
0,0,640.6627517325,46464.5659322762
0,1,706.161027542,18078.3517921729
1,1,1774.6942230578,20359.5060855671
0,0,916.4993169231,25768.4074467213
0,0,1271.2708123604,36053.5029503061
0,0,110.572909812,47339.1087511931
0,0,1747.2588815296,37819.2890860198
1,0,1889.599189763,48956.1715885681
0,0,27.2013946506,21051.8401259701
0,0,746.2297750574,35159.8502288788
1,1,1899.3906258472,20655.2000032624
0,1,813.9945655253,20391.5289481713
0,0,499.4578150946,38899.1604610096
0,0,853.1613316609,36272.4517835911
0,0,474.7273190883,32064.3351057974
0,0,1235.8761134542,35838.7770153588
0,0,620.6751525956,44213.770101262
0,0,220.0285697649,37880.0296471597
0,1,1304.9142993183,18074.0754152021
0,1,1608.1525598434,22358.0467020111
0,0,256.4712275598,37657.0559167998
0,1,1153.6049981538,19224.9752298419
0,0,771.8958745085,31170.0852836766
0,1,1099.6304221773,17064.0428279584
0,0,782.8830296639,40357.1334266019
0,0,444.2649061753,35924.3387929274
0,0,504.028378738,24780.9612369205
0,0,1762.5034019882,42124.6600673934
0,1,850.0961165965,18618.9879075019
0,0,1412.2387213032,40785.0597694212
0,0,715.4968295887,47482.5653767305
0,0,1363.5285994213,55713.0416079129
0,0,493.2418897994,42495.2030840663
0,0,1354.7525372036,33375.1316903778
0,1,571.2939110152,15416.2693546858
0,0,956.1513521835,44086.7077342314
0,0,964.8202529854,34390.7460350566
0,0,552.6343660247,50513.1642384347
0,0,338.2662016471,37767.239862893
0,0,709.1233513562,44041.6300941084
0,0,978.9782004105,57839.0537343736
0,0,371.0101278175,15702.7070830359
1,1,1572.8564808236,14930.1783306833
0,0,0,40150.217981059
1,0,1964.4768722528,39054.5891443139
0,0,548.0377834425,33605.6494686572
0,0,1257.055221686,34045.0088247242
0,0,1189.9180569742,38016.8939028578
0,0,687.6837590149,39373.5797462415
0,0,845.6989658385,39899.5126808393
0,1,957.6848337701,19676.3456491723
0,0,233.5168462671,43326.105379399
0,1,1126.9487439212,14298.2645686729
0,1,488.8551765482,15159.4948475337
0,0,767.9035597805,44323.5796638006
0,0,561.9257991244,31388.5056454162
0,1,1092.2700127725,17454.6018395308
0,0,71.7886830036,31965.7447145836
0,1,1839.1436819622,13625.3979303665
0,1,876.0007779067,22474.5740898236
